Treatment,gcps,PPK,PPK_Base,Point_ID,Type,Horz_Acc,Vert_Acc,Photos,RMS_Reprojection_Err,RMS_Dist_Rays,3D_Error,X Error,Y Error,Vert_Error,Horz Error
7 GCPs,7,FALSE,NA,1007,GCP,0.01,0.01,4,1.28,0.01208,0.02102,-0.00715,0.00598,-0.01884,0.0093211
7 GCPs,7,FALSE,NA,1027,GCP,0.01,0.01,4,0.9,0.00685,0.00656,0.00218,0.00617,0.00043,0.006543799
7 GCPs,7,FALSE,NA,1001,GCP,0.01,0.01,4,0.97,0.00969,0.00942,0.00525,-0.00466,0.00629,0.007019836
7 GCPs,7,FALSE,NA,1002,CP,0.01,0.01,4,1.75,0.01492,0.01641,0.00922,0.00942,0.00977,0.013181229
7 GCPs,7,FALSE,NA,1004,CP,0.01,0.01,4,1.16,0.01393,0.00859,-0.0041,0.00094,0.00748,0.004206376
7 GCPs,7,FALSE,NA,1005,CP,0.01,0.01,4,1.11,0.01162,0.039,-0.0002,0.00505,-0.03867,0.005053959
7 GCPs,7,FALSE,NA,1006,CP,0.01,0.01,4,1.53,0.02101,0.0382,-0.00755,0.00263,0.03735,0.007994961
7 GCPs,7,FALSE,NA,1008,CP,0.01,0.01,4,1.7,0.02275,0.01635,-0.00411,0.01109,-0.01129,0.011827096
7 GCPs,7,FALSE,NA,1009,CP,0.01,0.01,4,1.57,0.01507,0.01328,-0.01041,0.00466,-0.0068,0.011405424
7 GCPs,7,FALSE,NA,1010,CP,0.01,0.01,4,1.15,0.01113,0.01895,0.00458,0.00359,-0.01803,0.005819321
7 GCPs,7,FALSE,NA,1012,CP,0.01,0.01,3,1.82,0.01549,0.03264,0.01263,0.00145,0.03007,0.012712962
7 GCPs,7,FALSE,NA,1014,CP,0.01,0.01,4,0.66,0.00999,0.01751,0.00421,0.00189,-0.01689,0.004614781
7 GCPs,7,FALSE,NA,1015,CP,0.01,0.01,4,1.03,0.01656,0.01822,0.00134,0.00239,0.01801,0.002740018
